solver,v0_mps,max_abs_velocity,max_abs_acceleration,solution_l2,normal_residual_l2,normal_relative_residual,fit_residual_l2,physical_status,error
np_pinv_default,12.53383546824594,12.53383546824594,1.0438944811996436,13.372359169013324,1.4119839573405336e-13,2.3768353162917137e-14,0.007086751224164949,True,
np_pinv_hermitian,12.533835468245996,12.533835468245996,1.0438944812000983,13.37235916901308,3.896250580296745e-14,6.558676486533152e-15,0.007086751224201839,True,
np_solve,12.533835468245853,12.533835468245853,1.043894481199916,13.372359169013032,1.0784749481872294e-15,1.8154295105557409e-16,0.0070867512241971345,True,
np_lstsq,12.533835468245961,12.533835468245961,1.043894481199929,13.372359169013103,6.425628611055021e-15,1.0816455054415804e-15,0.007086751224204285,True,
scipy_pinv,12.533835468245904,12.533835468245904,1.0438944811996507,13.372359169013276,9.649693307408533e-14,1.6243620704892254e-14,0.007086751224168767,True,
scipy_pinvh,12.533835468246082,12.533835468246082,1.043894481199814,13.372359169013283,1.6721017820313444e-13,2.8146995207027757e-14,0.007086751224191525,True,
