threshold,max_path_deviation_m,max_step_displacement_m,ignore_all,human_replay,pdm_closed,stop,blind_minus_human,blind_minus_human_ci_low,blind_minus_human_ci_high,blind_minus_human_n,blind_minus_pdm_closed,blind_minus_pdm_closed_ci_low,blind_minus_pdm_closed_ci_high,blind_minus_pdm_closed_n,blind_rank,ignore_all_agent_fallback_rate,ignore_all_human_fallback_rate
strict,20.0,10.0,0.1328256530346857,0.888545642885768,0.8614280201667592,0.8697020286556776,-0.7557199898510821,-0.7628360829283514,-0.7483442718750473,12146,-0.7286023671320735,-0.7347187532855579,-0.722158258533953,12146,4,1.0,0.0
mid,50.0,25.0,0.13279624701300374,0.8863419732342692,0.8606968682657988,0.8636053085292107,-0.7535457262212656,-0.7607968291984106,-0.7462160816960544,12146,-0.7279006212527951,-0.7340167346771355,-0.7214664059762538,12146,4,1.0,0.0
current,100.0,50.0,0.13281652448181336,0.8834338004260673,0.8596530663759132,0.8539843853350404,-0.7506172759442539,-0.7578257780245519,-0.7432492281814911,12146,-0.7268365418940997,-0.7330247269087554,-0.7203924394255506,12146,4,1.0,0.0
loose,200.0,100.0,0.13278727080283026,0.8774622943869037,0.8568108645676576,0.8362244039465083,-0.7446750235840733,-0.752082537468442,-0.7373028973725151,12146,-0.7240235937648274,-0.7303069167608166,-0.7175183912796289,12146,4,1.0,0.0
