agent,display_name,n_pair,filter_on_score,filter_off_score,two_sided_score,e32a_score,any_metric_fail_to_pass_rate,dac_fail_to_pass_rate,ddc_fail_to_pass_rate,lk_fail_to_pass_rate,e32a_fallback_rate,median_path_dev_km,p90_path_dev_km
ignore_all,ignore_all,12146,0.7963585895415304,0.0,0.13288472395380016,0.13281652448181336,0.9998353367363741,0.9998353367363741,0.9998353367363741,0.9991766836818706,1.0,68.35093295259475,195.49291285951574
stop,stop,12146,0.6509315054684943,0.11699839069483879,0.872256592411376,0.8539843853350404,0.8972501234974477,0.8645644656677095,0.8650584554585872,0.8677753993084143,0.8602832208134366,11.675018328146962,59.212760539196516
human_replay,human_replay,12146,0.7398820305332737,0.0,0.8891228152713415,0.8834338004260673,1.0,0.9998353367363741,0.9997530051045612,0.9978593775728635,0.9944014490367199,7.216640745387122,22.751548350141693
pdm_closed,pdm_closed,12146,0.6712712225528249,0.000896576346809699,0.8624267836559949,0.8596530663759132,0.998682693890993,0.9976947143092376,0.9974477194137987,0.9953894286184752,0.9947307755639717,4.223019294256473,12.486507349756616
diffusiondrive,diffusiondrive,12143,0.7371442688909542,0.0,0.8528340843048906,0.8488118080669967,1.0,0.9999176480276702,0.9999176480276702,0.9976941447747674,0.9960471053281726,7.075056333368936,21.921236843002912
