agent,traffic,metric,mean_on,mean_off,mean_lift,fail_to_pass_tokens,fail_to_pass_rate,off_fail_rate,on_fail_rate
ignore_all,reactive,drivable_area_compliance,0.9998353367363741,0.0,0.9998353367363741,12144,0.9998353367363741,1.0,0.00016466326362588507
ignore_all,reactive,driving_direction_compliance,0.9998353367363741,0.0,0.9998353367363741,12144,0.9998353367363741,1.0,0.00016466326362588507
ignore_all,reactive,ego_progress,0.9998353367363741,0.9998353367363741,0.0,0,0.0,0.00016466326362588507,0.00016466326362588507
ignore_all,reactive,history_comfort,0.0,0.0,0.0,0,0.0,1.0,1.0
ignore_all,reactive,lane_keeping,0.9992590153136836,8.233163181294254e-05,0.9991766836818706,12136,0.9991766836818706,0.9999176683681871,0.0007409846863164828
ignore_all,reactive,no_at_fault_collisions,0.9545529392392558,0.9301827762226247,0.02437016301663099,290,0.023876173225753333,0.06528898402766342,0.041412810801910095
ignore_all,reactive,time_to_collision_within_bound,0.9504363576486086,0.924090235468467,0.02634612218014161,320,0.02634612218014161,0.07590976453153302,0.04956364235139141
ignore_all,reactive,traffic_light_compliance,0.9771118063560019,0.9524123168121192,0.02469948954388276,300,0.02469948954388276,0.047587683187880786,0.022888193643998023
constant_velocity,reactive,drivable_area_compliance,0.9997530051045612,0.0104561172402437,0.9892968878643175,12016,0.9892968878643175,0.9895438827597562,0.0002469948954388276
constant_velocity,reactive,driving_direction_compliance,0.9997530051045612,0.010332619792524287,0.9894203853120369,12016,0.9892968878643175,0.9895438827597562,0.0002469948954388276
constant_velocity,reactive,ego_progress,0.9998353367363741,0.9998353367363741,0.0,0,0.0,0.00016466326362588507,0.00016466326362588507
constant_velocity,reactive,history_comfort,0.002634612218014161,0.002634612218014161,0.0,0,0.0,0.9973653877819858,0.9973653877819858
constant_velocity,reactive,lane_keeping,0.9988473571546188,0.018771612053350897,0.9800757451012679,11904,0.9800757451012679,0.9812283879466491,0.0011526428453811955
constant_velocity,reactive,no_at_fault_collisions,0.8869998353367363,0.8264037543224106,0.0605960810143257,732,0.060266754487073936,0.1654865799440145,0.10521982545694056
constant_velocity,reactive,time_to_collision_within_bound,0.8705746747900543,0.7989461551127943,0.07162851967726,870,0.07162851967726,0.20105384488720565,0.12942532520994565
constant_velocity,reactive,traffic_light_compliance,0.9603984850979747,0.9229375926230858,0.03746089247488885,455,0.03746089247488885,0.07706240737691421,0.03960151490202536
timid_creep,reactive,drivable_area_compliance,0.9999176683681871,0.0,0.9999176683681871,12145,0.9999176683681871,1.0,8.233163181294254e-05
timid_creep,reactive,driving_direction_compliance,0.9998353367363741,0.0,0.9998353367363741,12144,0.9998353367363741,1.0,0.00016466326362588507
timid_creep,reactive,ego_progress,0.9998353367363741,0.9998353367363741,0.0,0,0.0,0.00016466326362588507,0.00016466326362588507
timid_creep,reactive,history_comfort,0.0,0.0,0.0,0,0.0,1.0,1.0
timid_creep,reactive,lane_keeping,0.9991766836818706,0.0014819693726329656,0.9976947143092376,12118,0.9976947143092376,0.998518030627367,0.0008233163181294253
timid_creep,reactive,no_at_fault_collisions,0.881195455293924,0.8234809813930513,0.05771447390087271,696,0.057302815741808004,0.16812119216202864,0.11081837642022065
timid_creep,reactive,time_to_collision_within_bound,0.8512267413140129,0.7837971348592129,0.06742960645479994,819,0.06742960645479994,0.2162028651407871,0.14877325868598715
timid_creep,reactive,traffic_light_compliance,0.936933970031286,0.8863000164663264,0.05063395356495966,615,0.05063395356495966,0.11369998353367364,0.06306602996871398
stop,reactive,drivable_area_compliance,1.0,0.13543553433229047,0.8645644656677095,10501,0.8645644656677095,0.8645644656677095,0.0
stop,reactive,driving_direction_compliance,1.0,0.1346533838300675,0.8653466161699325,10507,0.8650584554585872,0.8650584554585872,0.0
stop,reactive,ego_progress,0.9993495293246278,0.9994298427023409,-8.031337771312681e-05,0,0.0,0.0,0.0
stop,reactive,history_comfort,0.11888687633788901,0.11888687633788901,0.0,0,0.0,0.881113123662111,0.881113123662111
stop,reactive,lane_keeping,0.9995060102091223,0.13173061090070806,0.8677753993084143,10540,0.8677753993084143,0.868269389099292,0.0004939897908776552
stop,reactive,no_at_fault_collisions,0.8245512926066194,0.7374032603326198,0.08714803227399967,1052,0.08661287666721554,0.24897085460233823,0.16235797793512266
