environment,solver,v0,max_abs_acceleration,forward_relative_error,relative_residual,backward_error,role
reference,mp_lu_solve_200dps,12.533835468245853,1.043894481199941,0.0,0.0,0.0,accuracy_anchor
B,np_lstsq,12.533835468245961,1.043894481199929,7.044395112831805e-14,1.0816455054415804e-15,5.357477286225316e-16,cross_check
B,np_pinv_default,-491.34368772026016,408723.9020216601,81448.81608054569,3495.2469636564856,0.042114992805613254,failed_solver_path
B,np_pinv_hermitian,12.533835468246053,1.0438944811996436,3.85220333984463e-13,6.990925926296963e-15,3.4626619046070106e-15,accuracy_anchor
B,np_solve,12.533835468245863,1.0438944811999156,6.950739339476741e-14,1.889788890153572e-16,9.360276545156464e-17,runtime_specific_cross_check_not_final_anchor
B2,np_lstsq,12.533835468245961,1.043894481199929,7.044395112831805e-14,1.0816455054415804e-15,5.357477286225316e-16,cross_check
B2,np_pinv_default,12.53383546824594,1.0438944811999136,4.576616290509535e-13,4.2016222155815994e-14,2.081097316267964e-14,accuracy_anchor
B2,np_pinv_hermitian,12.533835468245996,1.0438944812000983,3.8721117609666024e-13,6.558676486533152e-15,3.2485652764725745e-15,cross_check
B2,np_solve,12.533835468245853,1.043894481199916,6.957725479139885e-14,1.8154295105557409e-16,8.991968550338379e-17,cross_check
