agent,n,ADE,FDE,L2_1s,L2_2s,L2_3s,L2_4s,MissRate2m,open_loop_rank,frozen_EPDMS,frozen_EPDMS_rank
human_replay,574,4.5125621047221456e-08,6.508621510972261e-08,2.955772570244181e-08,4.469179794908286e-08,5.8076016723395924e-08,6.508621510972261e-08,0.0,1,68.09,3.0
lead_release,574,0.5422083794334964,1.132845992208969,0.1384396059654556,0.43189044209819333,0.7657263630877745,1.132845992208969,0.13066202090592335,2,67.58,4.0
constant_velocity,574,2.2647235462198827,4.91537389803317,0.5130231990254494,1.70843620302829,3.2508075328738073,4.91537389803317,0.9581881533101045,3,64.83,
timid_creep,574,3.0228264889362575,6.14805502693511,0.9086271264919593,2.43124514655165,4.23542838628108,6.14805502693511,0.9564459930313589,4,64.52,
ignore_all,574,7.627519373566581,17.738289023819313,1.5993253098797329,5.302129078579059,10.757374240705277,17.738289023819313,1.0,5,79.73,1.0
