basis,agent,n_tokens,score,sha256,no_at_fault_collisions,drivable_area_compliance,traffic_light_compliance,ego_progress,agent_fallback,human_fallback
stock,actor_blind,12146,0.7924537178612596,6005db45014f557d808d9e03388e436873c7d7c7841eedb58bebfe1202ddfd45,0.9473900872715297,0.9998353367363741,0.9788407706240738,0.9995060102091223,,
twosided,actor_blind,12146,0.4507686245912822,0bfd6860dcd3a23ea560851bf684ea9e12b096066024d50169a64208fd3e4c6e,0.5843487567923596,0.9571052198254569,0.9106701794829574,1.0,,
fallback,actor_blind,12146,0.4507190723852097,f5c4c1b46b6f8aa8c4daee28e4cd5f8a6241f8377ed8f4ee7152fa8b0255595c,0.5843487567923596,0.9571052198254569,0.9106701794829574,0.9998028620083321,1.0,0.0
filteroff,actor_blind,12146,0.0,54363adc82cc265467018942db08b76a83fa45dad765673ca8715a85dc3d5fd6,0.9191503375596904,0.0,0.9564465667709534,0.9995060102091223,,
